Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1996	Mississippi State	58	5	No. 5 Mississippi State 58	Virginia Commonwealth	51	12	No. 12 Virginia Commonwealth 51	FIRST ROUND	-7	7
1996	Iowa State	74	5	No. 5 Iowa State 74	California	64	12	No. 12 California 64	FIRST ROUND	-7	10
1996	North Carolina	83	6	No. 6 North Carolina 83	New Orleans	62	11	No. 11 New Orleans 62	FIRST ROUND	-5	21
1996	Louisville	82	6	No. 6 Louisville 82	Tulsa	80	11	No. 11 Tulsa 80	FIRST ROUND	-5	2
1996	Iowa	81	6	No. 6 Iowa 81	George Washington	79	11	No. 11 George Washington 79	FIRST ROUND	-5	2
1996	Louisville	68	6	"Louisville 68	Villanova	64	3	 Villanova 64	SECOND ROUND	
1994	Florida	70	3	Florida 70"	Penn	58	11	 Penn 58	SECOND ROUND	-5	10
1996	Temple	61	7	No. 7 Temple 61	Oklahoma	43	10	No. 10 Oklahoma 43	FIRST ROUND	-3	18
1996	New Mexico	69	7	No. 7 New Mexico 69	Kansas State	48	10	No. 10 Kansas State 48	FIRST ROUND	-3	21
1996	Georgia	81	8	No. 8 Georgia 81	Clemson	74	9	No. 9 Clemson 74	FIRST ROUND	-1	7
1996	Georgia	76	8	"Georgia 76	Purdue	69	1	 Purdue 69	SECOND ROUND	
2001	Georgetown	76	10	Georgetown 76"	Hampton	57	15	 Hampton 57	SECOND ROUND	-7	19
1996	Virginia Tech	61	9	No. 9 Virginia Tech 61	Wisconsin-Green Bay	48	8	No. 8 Wisconsin-Green Bay 48	FIRST ROUND	1	13
1996	Eastern Michigan	75	9	No. 9 Eastern Michigan 75	Duke	60	8	No. 8 Duke 60	FIRST ROUND	1	15
1996	Stanford	66	9	No. 9 Stanford 66	Bradley	58	8	No. 8 Bradley 58	FIRST ROUND	1	8
1996	Santa Clara	91	10	No. 10 Santa Clara 91	Maryland	79	7	No. 7 Maryland 79	FIRST ROUND	3	12
1996	Texas	80	10	No. 10 Texas 80	Michigan	76	7	No. 7 Michigan 76	FIRST ROUND	3	4
1996	Boston College	64	11	No. 11 Boston College 64	Indiana	51	6	No. 6 Indiana 51	FIRST ROUND	5	13
1996	Arkansas	86	12	No. 12 Arkansas 86	Penn State	80	5	No. 5 Penn State 80	FIRST ROUND	7	6
1996	Drexel	75	12	No. 12 Drexel 75	Memphis	63	5	No. 5 Memphis 63	FIRST ROUND	7	12
1996	Arkansas	65	12	"Arkansas 65	Marquette	56	4	 Marquette 56	SECOND ROUND	
2006	LSU	58	4	LSU 58"	Texas A&M	57	12	 Texas A&M 57	SECOND ROUND	0	8
1996	Princeton	43	13	No. 13 Princeton 43	UCLA	41	4	No. 4 UCLA 41	FIRST ROUND	9	2
1997	Minnesota	76	1	"Minnesota 76	Temple	57	9	 Temple 57	SECOND ROUND	
1983	N.C. State	63	NA	N.C. State 63"	Virginia	62	1	 Virginia 62	REGIONAL FINALS	0	14
1997	Kentucky	75	1	"Kentucky 75	Iowa	69	8	 Iowa 69	SECOND ROUND	
2010	Xavier	71	6	Xavier 71"	Pittsburgh	68	3	 Pittsburgh 68	SECOND ROUND	-2	7
1997	Minnesota	90	1	"Minnesota 90	Clemson	84	4	 Clemson 84	REGIONAL SEMIFINALS	
1994	Duke	59	2	Duke 59"	Marquette	49	6	 Marquette 49	REGIONAL SEMIFINALS	-5	41
1997	Kansas	75	1	"Kansas 75	Purdue	61	8	 Purdue 61	SECOND ROUND	
1991	Indiana	82	2	Indiana 82"	Florida State	60	7	 Florida State 60	SECOND ROUND	-6	15
1997	Minnesota	80	1	"Minnesota 80	UCLA	72	2	 UCLA 72	REGIONAL FINALS	
2008	Wisconsin	72	3	Wisconsin 72"	Kansas State	55	11	 Kansas State 55	SECOND ROUND	-10	25
1997	Kentucky	92	1	No. 1 Kentucky 92	Montana	54	16	No. 16 Montana 54	FIRST ROUND	-15	38
1997	Kansas	78	1	No. 1 Kansas 78	Jackson State	64	16	No. 16 Jackson State 64	FIRST ROUND	-15	14
1997	North Carolina	82	1	No. 1 North Carolina 82	Fairfield	74	16	No. 16 Fairfield 74	FIRST ROUND	-15	8
1997	Minnesota	78	1	No. 1 Minnesota 78	Southwest Texas State	46	16	No. 16 Southwest Texas State 46	FIRST ROUND	-15	32
1997	Utah	82	2	"Utah 82	Stanford	77	6	 Stanford 77	REGIONAL SEMIFINALS	
1986	Louisville	72	2	Louisville 72"	Duke	69	1	 Duke 69	NATIONAL CHAMPIONSHIP	1	13
1997	Utah	75	2	No. 2 Utah 75	Navy	61	15	No. 15 Navy 61	FIRST ROUND	-13	14
1997	UCLA	109	2	No. 2 UCLA 109	Charleston Southern	75	15	No. 15 Charleston Southern 75	FIRST ROUND	-13	34
1997	Duke	71	2	No. 2 Duke 71	Murray State	68	15	No. 15 Murray State 68	FIRST ROUND	-13	3
1997	Wake Forest	68	3	No. 3 Wake Forest 68	St. Mary's	46	14	No. 14 St. Mary's 46	FIRST ROUND	-11	22
1997	Cincinnati	86	3	No. 3 Cincinnati 86	Butler	69	14	No. 14 Butler 69	FIRST ROUND	-11	17
1997	New Mexico	59	3	No. 3 New Mexico 59	Old Dominion	55	14	No. 14 Old Dominion 55	FIRST ROUND	-11	4
1997	Arizona	66	4	"Arizona 66	North Carolina	58	1	 North Carolina 58	NATIONAL SEMIFINALS	
1988	Arizona	99	1	Arizona 99"	Iowa	79	5	 Iowa 79	REGIONAL SEMIFINALS	-1	-13
1997	Clemson	65	4	"Clemson 65	Tulsa	59	5	 Tulsa 59	SECOND ROUND	
2004	Georgia Tech	57	3	Georgia Tech 57"	Boston College	54	6	 Boston College 54	SECOND ROUND	-2	11
1997	Arizona	65	4	No. 4 Arizona 65	South Alabama	57	13	No. 13 South Alabama 57	FIRST ROUND	-9	8
1997	St. Joseph's	75	4	No. 4 St. Joseph's 75	Pacific	65	13	No. 13 Pacific 65	FIRST ROUND	-9	10
1997	Villanova	101	4	No. 4 Villanova 101	Long Island	91	13	No. 13 Long Island 91	FIRST ROUND	-9	10
1997	Clemson	68	4	No. 4 Clemson 68	Miami of Ohio	56	13	No. 13 Miami of Ohio 56	FIRST ROUND	-9	12
1997	Arizona	85	4	"Arizona 85	Kansas	82	1	 Kansas 82	REGIONAL SEMIFINALS	
1991	Connecticut	66	11	Connecticut 66"	Xavier	50	14	 Xavier 50	SECOND ROUND	-10	35
1997	California	75	5	"California 75	Villanova	68	4	 Villanova 68	SECOND ROUND	
1999	Connecticut	78	1	Connecticut 78"	Iowa	68	5	 Iowa 68	REGIONAL SEMIFINALS	0	7
1997	California	55	5	No. 5 California 55	Princeton	52	12	No. 12 Princeton 52	FIRST ROUND	-7	3
1997	Boston College	73	5	No. 5 Boston College 73	Valparaiso	66	12	No. 12 Valparaiso 66	FIRST ROUND	-7	7
1997	Tulsa	81	5	No. 5 Tulsa 81	Boston University	52	12	No. 12 Boston University 52	FIRST ROUND	-7	29
1997	Louisville	64	6	"Louisville 64	New Mexico	63	3	 New Mexico 63	SECOND ROUND	
1982	North Carolina	70	1	North Carolina 70"	Villanova	60	3	 Villanova 60	REGIONAL FINALS	3	4
1997	Iowa State	69	6	No. 6 Iowa State 69	Illinois State	57	11	No. 11 Illinois State 57	FIRST ROUND	-5	12
1997	Illinois	90	6	No. 6 Illinois 90	Southern California	77	11	No. 11 Southern California 77	FIRST ROUND	-5	13
1997	Louisville	65	6	No. 6 Louisville 65	Massachusetts	57	11	No. 11 Massachusetts 57	FIRST ROUND	-5	8
1997	Stanford	80	6	No. 6 Stanford 80	Oklahoma	67	11	No. 11 Oklahoma 67	FIRST ROUND	-5	13
1997	UNC Charlotte	79	7	No. 7 UNC Charlotte 79	Georgetown	67	10	No. 10 Georgetown 67	FIRST ROUND	-3	12
1997	Xavier	80	7	No. 7 Xavier 80	Vanderbilt	68	10	No. 10 Vanderbilt 68	FIRST ROUND	-3	12
1997	Iowa	73	8	No. 8 Iowa 73	Virginia	60	9	No. 9 Virginia 60	FIRST ROUND	-1	13
1997	Purdue	83	8	No. 8 Purdue 83	Rhode Island	76	9	No. 9 Rhode Island 76	FIRST ROUND	-1	7
1997	Colorado	80	9	No. 9 Colorado 80	Indiana	62	8	No. 8 Indiana 62	FIRST ROUND	1	18
1997	Temple	62	9	No. 9 Temple 62	Mississippi	40	8	No. 8 Mississippi 40	FIRST ROUND	1	22
1997	Texas	71	10	No. 10 Texas 71	Wisconsin	58	7	No. 7 Wisconsin 58	FIRST ROUND	3	13
1997	Providence	81	10	No. 10 Providence 81	Marquette	59	7	No. 7 Marquette 59	FIRST ROUND	3	22
1997	Providence	71	10	"Providence 71	Tennessee-Chattanooga	65	14	 Tennessee-Chattanooga 65	REGIONAL SEMIFINALS	
1993	George Washington	90	12	George Washington 90"	Southern (La.)	80	13	 Southern (La.) 80	SECOND ROUND	-3	-9
1997	College of Charleston	75	12	No. 12 College of Charleston 75	Maryland	66	5	No. 5 Maryland 66	FIRST ROUND	7	9
1997	Tennessee-Chattanooga	73	14	No. 14 Tennessee-Chattanooga 73	Georgia	70	3	No. 3 Georgia 70	FIRST ROUND	11	3
1997	Coppin State	78	15	No. 15 Coppin State 78	South Carolina	65	2	No. 2 South Carolina 65	FIRST ROUND	13	13
1998	North Carolina	73	1	"North Carolina 73	Michigan State	58	4	 Michigan State 58	REGIONAL SEMIFINALS	
1985	St. John's	69	1	St. John's 69"	North Carolina State	60	3	 North Carolina State 60	REGIONAL FINALS	-2	13
1998	North Carolina	93	1	"North Carolina 93	UNC Charlotte	83	8	 UNC Charlotte 83	SECOND ROUND	
1989	Syracuse	65	2	Syracuse 65"	Colorado State	50	10	 Colorado State 50	SECOND ROUND	-9	43
1998	North Carolina	88	1	No. 1 North Carolina 88	Navy	52	16	No. 16 Navy 52	FIRST ROUND	-15	36
1998	Arizona	99	1	No. 1 Arizona 99	Nicholls State	60	16	No. 16 Nicholls State 60	FIRST ROUND	-15	39
1998	Kansas	110	1	No. 1 Kansas 110	Prairie View	52	16	No. 16 Prairie View 52	FIRST ROUND	-15	58
1998	Duke	99	1	No. 1 Duke 99	Radford	63	16	No. 16 Radford 63	FIRST ROUND	-15	36
1998	Connecticut	75	2	"Connecticut 75	Washington	74	11	 Washington 74	REGIONAL SEMIFINALS	
1993	Cincinnati	71	2	Cincinnati 71"	Virginia	54	6	 Virginia 54	REGIONAL SEMIFINALS	-4	21
1998	Kentucky	94	2	"Kentucky 94	UCLA	68	6	 UCLA 68	REGIONAL SEMIFINALS	
2005	Duke	63	1	Duke 63"	Mississippi State	55	9	 Mississippi State 55	SECOND ROUND	-7	39
1998	Cincinnati	65	2	No. 2 Cincinnati 65	Northern Arizona	62	15	No. 15 Northern Arizona 62	FIRST ROUND	-13	3
1998	Kentucky	82	2	No. 2 Kentucky 82	South Carolina State	67	15	No. 15 South Carolina State 67	FIRST ROUND	-13	15
1998	Connecticut	93	2	No. 2 Connecticut 93	Fairleigh Dickinson	85	15	No. 15 Fairleigh Dickinson 85	FIRST ROUND	-13	8
1998	Purdue	95	2	No. 2 Purdue 95	Delaware	56	15	No. 15 Delaware 56	FIRST ROUND	-13	39
1998	Utah	75	3	"Utah 75	Arkansas	69	6	 Arkansas 69	SECOND ROUND	
1994	Arkansas	76	1	Arkansas 76"	Michigan	68	3	 Michigan 68	REGIONAL FINALS	0	7
1998	Stanford	67	3	"Stanford 67	Purdue	59	2	 Purdue 59	REGIONAL SEMIFINALS	
2006	Gonzaga	90	3	Gonzaga 90"	Indiana	80	6	 Indiana 80	SECOND ROUND	-3	-13
1998	Utah	65	3	"Utah 65	West Virginia	62	10	 West Virginia 62	REGIONAL SEMIFINALS	
1996	Massachusetts	79	1	Massachusetts 79"	Stanford	74	9	 Stanford 74	SECOND ROUND	-6	-9
1998	Stanford	83	3	"Stanford 83	Western Michigan	65	11	 Western Michigan 65	SECOND ROUND	
2006	Florida	82	3	Florida 82"	Wisconsin-Milwaukee	60	11	 Wisconsin-Milwaukee 60	SECOND ROUND	-8	23
1998	Utah	85	3	No. 3 Utah 85	San Francisco	68	14	No. 14 San Francisco 68	FIRST ROUND	-11	17
1998	Michigan	80	3	No. 3 Michigan 80	Davidson	61	14	No. 14 Davidson 61	FIRST ROUND	-11	19
1998	Stanford	67	3	No. 3 Stanford 67	College of Charleston	57	14	No. 14 College of Charleston 57	FIRST ROUND	-11	10
1998	Michigan State	63	4	"Michigan State 63	Princeton	56	5	 Princeton 56	SECOND ROUND	
2009	North Carolina	83	1	North Carolina 83"	Villanova	69	3	 Villanova 69	NATIONAL SEMIFINALS	1	-6
1998	Maryland	82	4	No. 4 Maryland 82	Utah State	68	13	No. 13 Utah State 68	FIRST ROUND	-9	14
1998	New Mexico	79	4	No. 4 New Mexico 79	Butler	62	13	No. 13 Butler 62	FIRST ROUND	-9	17
1998	Michigan State	83	4	No. 4 Michigan State 83	Eastern Michigan	71	13	No. 13 Eastern Michigan 71	FIRST ROUND	-9	12
1998	Syracuse	56	5	"Syracuse 56	New Mexico	46	4	 New Mexico 46	SECOND ROUND	
1983	North Carolina State	75	6	North Carolina State 75"	Utah	56	10	 Utah 56	REGIONAL SEMIFINALS	-5	0
1998	Princeton	69	5	No. 5 Princeton 69	UNLV	57	12	No. 12 UNLV 57	FIRST ROUND	-7	12
1998	Illinois	64	5	No. 5 Illinois 64	South Alabama	51	12	No. 12 South Alabama 51	FIRST ROUND	-7	13
1998	Syracuse	63	5	No. 5 Syracuse 63	Iona	61	12	No. 12 Iona 61	FIRST ROUND	-7	2
1998	UCLA	65	6	No. 6 UCLA 65	Miami (Fla.)	62	11	No. 11 Miami (Fla.) 62	FIRST ROUND	-5	3
1998	Arkansas	74	6	No. 6 Arkansas 74	Nebraska	65	11	No. 11 Nebraska 65	FIRST ROUND	-5	9
1998	Indiana	94	7	No. 7 Indiana 94	Oklahoma	87	10	No. 10 Oklahoma 87	FIRST ROUND	-3	7
1998	Rhode Island	97	8	No. 8 Rhode Island 97	Murray State	74	9	No. 9 Murray State 74	FIRST ROUND	-1	23
1998	Oklahoma State	74	8	No. 8 Oklahoma State 74	George Washington	59	9	No. 9 George Washington 59	FIRST ROUND	-1	15
1998	UNC Charlotte	77	8	No. 8 UNC Charlotte 77	Illinois-Chicago	62	9	No. 9 Illinois-Chicago 62	FIRST ROUND	-1	15
1998	Illinois State	82	9	No. 9 Illinois State 82	Tennessee	81	8	No. 8 Tennessee 81	FIRST ROUND	1	1
1998	West Virginia	82	10	No. 10 West Virginia 82	Temple	52	7	No. 7 Temple 52	FIRST ROUND	3	30
1998	Saint Louis	51	10	No. 10 Saint Louis 51	Massachusetts	46	7	No. 7 Massachusetts 46	FIRST ROUND	3	5
1998	Detroit	66	10	No. 10 Detroit 66	St. John's	64	7	No. 7 St. John's 64	FIRST ROUND	3	2
1998	Washington	69	11	No. 11 Washington 69	Xavier	68	6	No. 6 Xavier 68	FIRST ROUND	5	1
1998	Western Michigan	75	11	No. 11 Western Michigan 75	Clemson	72	6	No. 6 Clemson 72	FIRST ROUND	5	3
1998	Washington	81	11	"Washington 81	Richmond	66	14	 Richmond 66	SECOND ROUND	
1995	Arkansas	96	2	Arkansas 96"	Memphis	91	6	 Memphis 91	REGIONAL SEMIFINALS	5	-10
1998	Florida State	96	12	No. 12 Florida State 96	Texas Christian	87	5	No. 5 Texas Christian 87	FIRST ROUND	7	9
1998	Valparaiso	70	13	No. 13 Valparaiso 70	Mississippi	69	4	No. 4 Mississippi 69	FIRST ROUND	9	1
1998	Richmond	62	14	No. 14 Richmond 62	South Carolina	61	3	No. 3 South Carolina 61	FIRST ROUND	11	1
1999	Auburn	81	1	"Auburn 81	Oklahoma State	74	9	 Oklahoma State 74	SECOND ROUND	
1983	Georgia	70	4	Georgia 70"	St. John's	67	1	 St. John's 67	REGIONAL SEMIFINALS	0	14
1999	Connecticut	67	1	"Connecticut 67	Gonzaga	62	10	 Gonzaga 62	REGIONAL FINALS	
2007	Ohio State	67	1	Ohio State 67"	Georgetown	60	2	 Georgetown 60	NATIONAL SEMIFINALS	-1	7
1999	Michigan State	73	1	"Michigan State 73	Kentucky	66	3	 Kentucky 66	REGIONAL FINALS	
1982	Louisville	75	3	Louisville 75"	UAB	68	4	 UAB 68	REGIONAL FINALS	-3	5
1999	Connecticut	77	1	"Connecticut 77	Duke	74	1	 Duke 74	NATIONAL CHAMPIONSHIP	
1986	North Carolina	77	3	North Carolina 77"	UAB	59	6	 UAB 59	SECOND ROUND	-5	18
1999	Connecticut	78	1	"Connecticut 78	New Mexico	56	9	 New Mexico 56	SECOND ROUND	
2008	Louisville	78	3	Louisville 78"	Oklahoma	48	6	 Oklahoma 48	SECOND ROUND	-5	30
1999	Duke	68	1	"Duke 68	Michigan State	62	1	 Michigan State 62	NATIONAL SEMIFINALS	
2010	Kansas State	84	2	Kansas State 84"	BYU	72	7	 BYU 72	SECOND ROUND	-6	-4
1999	Auburn	80	1	No. 1 Auburn 80	Winthrop	41	16	No. 16 Winthrop 41	FIRST ROUND	-15	39
1999	Duke	99	1	No. 1 Duke 99	Florida A&M;	58	16	No. 16 Florida A&M; 58	FIRST ROUND	-15	41
1999	Michigan State	76	1	No. 1 Michigan State 76	Mount St. Mary's	53	16	No. 16 Mount St. Mary's 53	FIRST ROUND	-15	23
1999	Connecticut	91	1	No. 1 Connecticut 91	Texas San Antonio	66	16	No. 16 Texas San Antonio 66	FIRST ROUND	-15	25
1999	Maryland	75	2	"Maryland 75	Creighton	63	10	 Creighton 63	SECOND ROUND	
2011	Kansas	73	1	Kansas 73"	Illinois	59	9	 Illinois 59	THIRD ROUND	-7	16
1999	Stanford	69	2	No. 2 Stanford 69	Alcorn State	57	15	No. 15 Alcorn State 57	FIRST ROUND	-13	12
1999	Maryland	82	2	No. 2 Maryland 82	Valparaiso	60	15	No. 15 Valparaiso 60	FIRST ROUND	-13	22
1999	Miami (Fla)	75	2	No. 2 Miami (Fla) 75	Lafayette	54	15	No. 15 Lafayette 54	FIRST ROUND	-13	21
1999	Utah	80	2	No. 2 Utah 80	Arkansas St.	58	15	No. 15 Arkansas St. 58	FIRST ROUND	-13	22
1999	St. John's	76	3	"St. John's 76	Maryland	62	2	 Maryland 62	REGIONAL SEMIFINALS	
1997	North Carolina	63	1	North Carolina 63"	California	57	5	 California 57	REGIONAL SEMIFINALS	-2	19
1999	Kentucky	82	3	No. 3 Kentucky 82	New Mexico St.	60	14	No. 14 New Mexico St. 60	FIRST ROUND	-11	22
1999	Cincinnati	72	3	No. 3 Cincinnati 72	George Mason	48	14	No. 14 George Mason 48	FIRST ROUND	-11	24
1999	St. John's	69	3	No. 3 St. John's 69	Samford	43	14	No. 14 Samford 43	FIRST ROUND	-11	26
1999	Ohio State	75	4	"Ohio State 75	Detroit	44	12	 Detroit 44	SECOND ROUND	
1982	Louisville	67	3	Louisville 67"	Minnesota	61	2	 Minnesota 61	REGIONAL SEMIFINALS	2	14
1999	Tennessee	62	4	No. 4 Tennessee 62	Delaware	52	13	No. 13 Delaware 52	FIRST ROUND	-9	10
1999	Ohio State	72	4	No. 4 Ohio State 72	Murray State	58	13	No. 13 Murray State 58	FIRST ROUND	-9	14
1999	Arkansas	94	4	No. 4 Arkansas 94	Siena	80	13	No. 13 Siena 80	FIRST ROUND	-9	14
1999	Ohio State	72	4	"Ohio State 72	Auburn	64	1	 Auburn 64	REGIONAL SEMIFINALS	
2005	Michigan State	72	5	Michigan State 72"	Vermont	61	13	 Vermont 61	SECOND ROUND	-9	11
1999	Iowa	82	5	"Iowa 82	Arkansas	72	4	 Arkansas 72	SECOND ROUND	
1988	Duke	73	2	Duke 73"	Rhode Island	72	11	 Rhode Island 72	REGIONAL SEMIFINALS	-6	10
1999	UNC Charlotte	81	5	No. 5 UNC Charlotte 81	Rhode Island	70	12	No. 12 Rhode Island 70	FIRST ROUND	-7	11
1999	Iowa	77	5	No. 5 Iowa 77	UAB	64	12	No. 12 UAB 64	FIRST ROUND	-7	13
1999	Florida	82	6	"Florida 82	Weber State	74	14	 Weber State 74	SECOND ROUND	
1993	North Carolina	77	1	North Carolina 77"	Michigan	71	1	 Michigan 71	NATIONAL CHAMPIONSHIP	5	11
1999	Temple	77	6	"Temple 77	Purdue	55	10	 Purdue 55	REGIONAL SEMIFINALS	
1986	Alabama	58	5	Alabama 58"	Illinois	56	4	 Illinois 56	SECOND ROUND	2	21
1999	Temple	61	6	No. 6 Temple 61	Kent	54	11	No. 11 Kent 54	FIRST ROUND	-5	7
1999	Indiana	108	6	No. 6 Indiana 108	George Washington	88	11	No. 11 George Washington 88	FIRST ROUND	-5	20
1999	Kansas	95	6	No. 6 Kansas 95	Evansville	74	11	No. 11 Evansville 74	FIRST ROUND	-5	21
1999	Florida	75	6	No. 6 Florida 75	Penn	61	11	No. 11 Penn 61	FIRST ROUND	-5	14
1999	New Mexico	61	9	No. 9 New Mexico 61	Missouri	59	8	No. 8 Missouri 59	FIRST ROUND	1	2
1999	Tulsa	62	9	No. 9 Tulsa 62	Charleston	53	8	No. 8 Charleston 53	FIRST ROUND	1	9
1999	Oklahoma State	69	9	No. 9 Oklahoma State 69	Syracuse	61	8	No. 8 Syracuse 61	FIRST ROUND	1	8
1999	Purdue	58	10	No. 10 Purdue 58	Texas	54	7	No. 7 Texas 54	FIRST ROUND	3	4
1999	Gonzaga	75	10	No. 10 Gonzaga 75	Minnesota	63	7	No. 7 Minnesota 63	FIRST ROUND	3	12
1999	Miami (Ohio)	59	10	No. 10 Miami (Ohio) 59	Washington	58	7	No. 7 Washington 58	FIRST ROUND	3	1
1999	Creighton	62	10	No. 10 Creighton 62	Louisville	58	7	No. 7 Louisville 58	FIRST ROUND	3	4
1999	Gonzaga	73	10	"Gonzaga 73	Florida	72	6	 Florida 72	REGIONAL SEMIFINALS	
2009	Louisville	103	1	Louisville 103"	Arizona	64	12	 Arizona 64	REGIONAL SEMIFINALS	-2	9
1999	SW Missouri State	43	12	No. 12 SW Missouri State 43	Wisconsin	32	5	No. 5 Wisconsin 32	FIRST ROUND	7	11
1999	Detroit	56	12	No. 12 Detroit 56	UCLA	53	5	No. 5 UCLA 53	FIRST ROUND	7	3
1999	Oklahoma	85	13	"Oklahoma 85	UNC Charlotte	72	5	 UNC Charlotte 72	SECOND ROUND	
2001	pening-round		NA	Opening-round 	UNC Charlotte	72	NA	 UNC Charlotte 72	FIRST ROUND	
2012	Florida	68	7	Florida 68"	Marquette	58	3	 Marquette 58	REGIONAL SEMIFINALS	10	27
1999	Oklahoma	61	13	No. 13 Oklahoma 61	Arizona	60	4	No. 4 Arizona 60	FIRST ROUND	9	1
1999	Weber State	76	14	No. 14 Weber State 76	North Carolina	74	3	No. 3 North Carolina 74	FIRST ROUND	11	2
2000	Duke	69	1	"Duke 69	Kansas	64	8	 Kansas 64	SECOND ROUND	
1992	Ohio State	78	1	Ohio State 78"	Connecticut	55	9	 Connecticut 55	SECOND ROUND	-8	14
2000	Stanford	84	1	No. 1 Stanford 84	S Carolina State	65	16	No. 16 S Carolina State 65	FIRST ROUND	-15	19
2000	Duke	82	1	No. 1 Duke 82	Lamar	55	16	No. 16 Lamar 55	FIRST ROUND	-15	27
2000	Arizona	71	1	No. 1 Arizona 71	Jackson State	47	16	No. 16 Jackson State 47	FIRST ROUND	-15	24
2000	Michigan State	65	1	No. 1 Michigan State 65	Valpraiso	38	16	No. 16 Valpraiso 38	FIRST ROUND	-15	27
2000	Cincinnati	64	2	No. 2 Cincinnati 64	UNC-Wilmington	47	15	No. 15 UNC-Wilmington 47	FIRST ROUND	-13	17
2000	Temple	73	2	No. 2 Temple 73	Lafayette	47	15	No. 15 Lafayette 47	FIRST ROUND	-13	26
2000	State John's	61	2	No. 2 State John's 61	N Arizona	56	15	No. 15 N Arizona 56	FIRST ROUND	-13	5
2000	Iowa State	88	2	No. 2 Iowa State 88	Cent Conn State	78	15	No. 15 Cent Conn State 78	FIRST ROUND	-13	10
2000	Oklahoma State	75	3	"Oklahoma State 75	Pepperdine	67	11	 Pepperdine 67	SECOND ROUND	
1998	West Virginia	75	10	West Virginia 75"	Cincinnati	74	2	 Cincinnati 74	SECOND ROUND	1	1
2000	Maryland	74	3	No. 3 Maryland 74	Iona	59	14	No. 14 Iona 59	FIRST ROUND	-11	15
2000	Oklahoma	74	3	No. 3 Oklahoma 74	Winthrop	50	14	No. 14 Winthrop 50	FIRST ROUND	-11	24
2000	Ohio State	87	3	No. 3 Ohio State 87	Appalachian State	61	14	No. 14 Appalachian State 61	FIRST ROUND	-11	26
2000	Oklahoma State	86	3	No. 3 Oklahoma State 86	Hofstra	66	14	No. 14 Hofstra 66	FIRST ROUND	-11	20
2000	Tennessee	65	4	"Tennessee 65	Connecticut	51	5	 Connecticut 51	SECOND ROUND	
1990	Clemson	79	5	Clemson 79"	La Salle	75	4	 La Salle 75	SECOND ROUND	0	-10
2000	LSU	72	4	"LSU 72	Texas	67	5	 Texas 67	SECOND ROUND	
2007	North Carolina	74	1	North Carolina 74"	Southern California	64	5	 Southern California 64	REGIONAL SEMIFINALS	-1	8
2000	Illinois	68	4	No. 4 Illinois 68	Pennsylvania	58	13	No. 13 Pennsylvania 58	FIRST ROUND	-9	10
2000	Syracuse	79	4	No. 4 Syracuse 79	Samford	65	13	No. 13 Samford 65	FIRST ROUND	-9	14
2000	LSU	64	4	No. 4 LSU 64	SE Missouri State	61	13	No. 13 SE Missouri State 61	FIRST ROUND	-9	3
2000	Tennessee	63	4	No. 4 Tennessee 63	La-Lafayette	58	13	No. 13 La-Lafayette 58	FIRST ROUND	-9	5
2000	Florida	77	5	"Florida 77	Oklahoma State	65	3	 Oklahoma State 65	REGIONAL FINALS	
2012	Kentucky	102	1	Kentucky 102"	Indiana	90	4	 Indiana 90	REGIONAL SEMIFINALS	1	-13
2000	Connecticut	75	5	No. 5 Connecticut 75	Utah State	67	5	No. 5 Utah State 67	FIRST ROUND	0	8
2000	Florida	87	5	"Florida 87	Duke	78	1	 Duke 78	REGIONAL SEMIFINALS	
2006	George Mason	63	11	George Mason 63"	Wichita State	55	7	 Wichita State 55	REGIONAL SEMIFINALS	-2	32
2000	Texas	77	5	No. 5 Texas 77	Indiana State	61	12	No. 12 Indiana State 61	FIRST ROUND	-7	16
2000	Kentucky	85	5	No. 5 Kentucky 85	State Bonaventure	80	12	No. 12 State Bonaventure 80	FIRST ROUND	-7	5
2000	Florida	69	5	No. 5 Florida 69	Butler	68	12	No. 12 Butler 68	FIRST ROUND	-7	1
2000	Purdue	75	6	"Purdue 75	Gonzaga	66	10	 Gonzaga 66	REGIONAL SEMIFINALS	
2011	Marquette	66	11	Marquette 66"	Syracuse	62	3	 Syracuse 62	THIRD ROUND	3	13
2000	Miami (FL)	75	6	"Miami (FL) 75	Ohio State	62	3	 Ohio State 62	SECOND ROUND	
1987	Syracuse	77	2	Syracuse 77"	Providence	63	6	 Providence 63	NATIONAL SEMIFINALS	0	12
2000	Purdue	62	6	No. 6 Purdue 62	Dayton	61	11	No. 11 Dayton 61	FIRST ROUND	-5	1
2000	UCLA	65	6	No. 6 UCLA 65	Ball State	57	11	No. 11 Ball State 57	FIRST ROUND	-5	8
2000	Miami (FL)	75	6	No. 6 Miami (FL) 75	Arkansas	71	11	No. 11 Arkansas 71	FIRST ROUND	-5	4
2000	Tulsa	80	7	"Tulsa 80	Miami (FL)	71	6	 Miami (FL) 71	REGIONAL SEMIFINALS	
1994	Arizona	92	2	Arizona 92"	Missouri	72	1	 Missouri 72	REGIONAL FINALS	6	8
2000	Tulsa	69	7	"Tulsa 69	Cincinnati	61	2	 Cincinnati 61	SECOND ROUND	
2011	Connecticut	65	3	Connecticut 65"	Arizona	63	5	 Arizona 63	REGIONAL FINALS	2	6
