Year	Team1Team	Team1Score	Team1Rank	Team1	Team2Team	Team2Score	Team2Rank2	team2	entry	RankDiff	ScoreDiff
1982	Pepperdine	99	7	No. 7 Pepperdine 99	Pittsburgh	88	10	No. 10 Pittsburgh 88	FIRST ROUND	-3	11
1982	Wake Forest	74	7	No. 7 Wake Forest 74	Old Dominion	57	10	No. 10 Old Dominion 57	FIRST ROUND	-3	17
1982	Marquette	67	7	No. 7 Marquette 67	Evansville	62	10	No. 10 Evansville 62	FIRST ROUND	-3	5
1982	Boston College	82	8	No. 8 Boston College 82	DePaul	75	1	No. 1 DePaul 75	SECOND ROUND	7	7
1982	Boston College	70	8	No. 8 Boston College 70	San Francisco	66	9	No. 9 San Francisco 66	FIRST ROUND	-1	4
1982	Wyoming	61	8	No. 8 Wyoming 61	Southern Cal	58	9	No. 9 Southern Cal 58	FIRST ROUND	-1	3
1982	Tennessee	61	9	No. 9 Tennessee 61	Southwestern Louisiana	57	8	No. 8 Southwestern Louisiana 57	FIRST ROUND	1	4
1982	James Madison	55	9	No. 9 James Madison 55	Ohio State	48	8	No. 8 Ohio State 48	FIRST ROUND	1	7
1982	Tenn.-Chattanooga	58	10	No. 10 Tenn.-Chattanooga 58	North Carolina State	51	7	No. 7 North Carolina State 51	FIRST ROUND	3	7
1982	Middle Tennessee State	50	11	No. 11 Middle Tennessee State 50	Kentucky	44	6	No. 6 Kentucky 44	FIRST ROUND	5	6
1982	Northeastern	63	11	No. 11 Northeastern 63	St. Joseph's	62	6	No. 6 St. Joseph's 62	FIRST ROUND	5	1
1983	Virginia	95	1	"Virginia 95	Boston College	92	4	 Boston College 92	REGIONAL SEMIFINALS	
1998	Arizona	87	1	Arizona 87"	Maryland	79	4	 Maryland 79	REGIONAL SEMIFINALS	-3	16
1983	Louisville	80	1	"Louisville 80	Kentucky	68	3	 Kentucky 68	REGIONAL FINALS	
1995	UCLA	86	1	UCLA 86"	Mississippi State	67	5	 Mississippi State 67	REGIONAL SEMIFINALS	-4	13
1983	Houston	70	1	"Houston 70	Memphis State	63	4	 Memphis State 63	REGIONAL SEMIFINALS	
1993	Kansas	90	2	Kansas 90"	Brigham Young	76	7	 Brigham Young 76	SECOND ROUND	-6	-6
1983	Virginia	54	1	No. 1 Virginia 54	Washington State	49	8	No. 8 Washington State 49	SECOND ROUND	-7	5
1983	Louisville	70	1	No. 1 Louisville 70	Tennessee	57	8	No. 8 Tennessee 57	SECOND ROUND	-7	13
1983	Houston	60	1	No. 1 Houston 60	Maryland	50	8	No. 8 Maryland 50	SECOND ROUND	-7	10
1983	Houston	89	1	"Houston 89	Villanova	71	3	 Villanova 71	REGIONAL FINALS	
1998	Duke	79	1	Duke 79"	Oklahoma State	73	8	 Oklahoma State 73	SECOND ROUND	-7	16
1983	St. John's	66	1	No. 1 St. John's 66	Rutgers	55	9	No. 9 Rutgers 55	SECOND ROUND	-8	11
1983	Indiana	63	2	No. 2 Indiana 63	Oklahoma	49	7	No. 7 Oklahoma 49	SECOND ROUND	-5	14
1983	North Carolina	68	2	No. 2 North Carolina 68	James Madison	49	10	No. 10 James Madison 49	SECOND ROUND	-8	19
1983	Ohio State	79	3	No. 3 Ohio State 79	Syracuse	74	6	No. 6 Syracuse 74	SECOND ROUND	-3	5
1983	Villanova	60	3	No. 3 Villanova 60	Lamar	58	11	No. 11 Lamar 58	SECOND ROUND	-8	2
1983	Kentucky	57	3	No. 3 Kentucky 57	Ohio University	40	11	No. 11 Ohio University 40	SECOND ROUND	-8	17
1983	Memphis State	66	4	No. 4 Memphis State 66	Georgetown	57	5	No. 5 Georgetown 57	SECOND ROUND	-1	9
1983	Georgia	56	4	No. 4 Georgia 56	Virginia Commonwealth	54	5	No. 5 Virginia Commonwealth 54	SECOND ROUND	-1	2
1983	Arkansas	78	4	No. 4 Arkansas 78	Purdue	68	5	No. 5 Purdue 68	SECOND ROUND	-1	10
1983	Boston College	51	4	No. 4 Boston College 51	Princeton	42	12	No. 12 Princeton 42	SECOND ROUND	-8	9
1983	Virginia Commonwealth	76	5	No. 5 Virginia Commonwealth 76	La Salle	67	12	No. 12 La Salle 67	FIRST ROUND	-7	9
1983	Purdue	55	5	No. 5 Purdue 55	Robert Morris (Pa.)	53	12	No. 12 Robert Morris (Pa.) 53	FIRST ROUND	-7	2
1983	Georgetown	68	5	No. 5 Georgetown 68	Alcorn State	63	12	No. 12 Alcorn State 63	FIRST ROUND	-7	5
1983	North Carolina State	71	6	No. 6 North Carolina State 71	UNLV	70	3	No. 3 UNLV 70	SECOND ROUND	3	1
1983	North Carolina State	67	6	"North Carolina State 67	Georgia	60	4	 Georgia 60	NATIONAL SEMIFINALS	
2012	Michigan State	65	1	Michigan State 65"	Saint Louis	61	9	 Saint Louis 61	THIRD ROUND	-3	6
1983	North Carolina State	69	6	No. 6 North Carolina State 69	Pepperdine	67	11	No. 11 Pepperdine 67	FIRST ROUND	-5	2
1983	Syracuse	74	6	No. 6 Syracuse 74	Morehead State	59	11	No. 11 Morehead State 59	FIRST ROUND	-5	15
1983	Iowa	77	7	No. 7 Iowa 77	Missouri	63	2	No. 2 Missouri 63	SECOND ROUND	5	14
1983	Oklahoma	71	7	No. 7 Oklahoma 71	UAB	63	10	No. 10 UAB 63	FIRST ROUND	-3	8
1983	Iowa	64	7	No. 7 Iowa 64	Utah State	59	10	No. 10 Utah State 59	FIRST ROUND	-3	5
1983	Maryland	52	8	No. 8 Maryland 52	Tennessee-Chattanooga	51	9	No. 9 Tennessee-Chattanooga 51	FIRST ROUND	-1	1
1983	Washington State	62	8	No. 8 Washington State 62	Weber State	52	9	No. 9 Weber State 52	FIRST ROUND	-1	10
1983	Tennessee	57	8	No. 8 Tennessee 57	Marquette	56	9	No. 9 Marquette 56	FIRST ROUND	-1	1
1983	Rutgers	60	9	No. 9 Rutgers 60	Southwestern Louisiana	53	8	No. 8 Southwestern Louisiana 53	FIRST ROUND	1	7
1983	Utah	67	10	No. 10 Utah 67	UCLA	61	2	No. 2 UCLA 61	SECOND ROUND	8	6
1983	Utah	52	10	No. 10 Utah 52	Illinois	49	7	No. 7 Illinois 49	FIRST ROUND	3	3
1983	James Madison	57	10	No. 10 James Madison 57	West Virginia	50	7	No. 7 West Virginia 50	FIRST ROUND	3	7
1983	Lamar	73	11	No. 11 Lamar 73	Alabama	50	6	No. 6 Alabama 50	FIRST ROUND	5	23
1983	Ohio University	51	11	No. 11 Ohio University 51	Illinois State	49	6	No. 6 Illinois State 49	FIRST ROUND	5	2
1983	Princeton	56	12	No. 12 Princeton 56	Oklahoma State	53	5	No. 5 Oklahoma State 53	FIRST ROUND	7	3
1983	Princeton	53	12	"Princeton 53	North Carolina A&T	41	NA	 North Carolina A&T 41	PRELIMINARY ROUND	
2012	Baylor	75	3	Baylor 75"	Xavier	70	10	 Xavier 70	REGIONAL SEMIFINALS	2	-17
1984	Georgetown	62	1	"Georgetown 62	UNLV	48	5	 UNLV 48	REGIONAL SEMIFINALS	
1992	Michigan	75	6	Michigan 75"	Ohio State	71	1	 Ohio State 71	REGIONAL FINALS	0	-9
1984	Georgetown	61	1	"Georgetown 61	Dayton	49	10	 Dayton 49	REGIONAL FINALS	
1986	Louisiana State	70	11	Louisiana State 70"	Georgia Tech	64	2	 Georgia Tech 64	REGIONAL SEMIFINALS	-1	-3
1984	Kentucky	54	1	"Kentucky 54	Illinois	51	2	 Illinois 51	REGIONAL FINALS	
2000	UCLA	105	6	UCLA 105"	Maryland	70	3	 Maryland 70	SECOND ROUND	-2	-16
1984	DePaul	75	1	No. 1 DePaul 75	Illinois State	61	8	No. 8 Illinois State 61	SECOND ROUND	-7	14
